url,Tab_link,Video_link
https://tonypolecastro.com/lessons/hoser-g-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/You-Hoser.pdf,https://player.vimeo.com/external/198927216.hd.mp4?s=a1fa2c27d2fd93c289f904704f2c65e2192c198b&profile_id=174&download=1
https://tonypolecastro.com/lessons/zombie-walk-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Zombie-Walk.pdf,https://player.vimeo.com/external/188071412.hd.mp4?s=952130f83ee1b4e574173fbafa6720e2292b1e36&profile_id=174&download=1
https://tonypolecastro.com/lessons/3-fretted-safety-cushion-g-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/3-Fretted-Safety-Cushion.pdf,https://player.vimeo.com/external/180978528.hd.mp4?s=ca873e04018bb30888583612ef2758d0748de2f6&profile_id=174&download=1
https://tonypolecastro.com/lessons/beowulf-a-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Beowulf.pdf,https://player.vimeo.com/external/199244608.hd.mp4?s=7a8fa30c158e159826f8d9e34b4db8b33e6df330&profile_id=174&download=1
https://tonypolecastro.com/lessons/blue-locomotive-e-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Blue-Locamotive.pdf,https://player.vimeo.com/external/180978333.hd.mp4?s=afb129fe83276832d96081bd30713b824d5d0bfc&profile_id=174&download=1
https://tonypolecastro.com/lessons/chord-shape-conundrum-c-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Chord-Shape-Conundrum.pdf,https://player.vimeo.com/external/170869191.hd.mp4?s=c67ab464ba17d7055b8eb54e6a2b00b8b4c480ec&profile_id=174&download=1
https://tonypolecastro.com/lessons/clubber-lang-d-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Clubber-Lang.pdf,https://player.vimeo.com/external/198808762.hd.mp4?s=a74cf2885cfc117959b68d23bd17f314c1d722ea&profile_id=174&download=1
https://tonypolecastro.com/lessons/coach-q-d-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Coach-Q.pdf,https://player.vimeo.com/external/199251090.hd.mp4?s=9b59f87fa5f9e2b2e1850aea236aa36ecefafe48&profile_id=174&download=1
https://tonypolecastro.com/lessons/cobra-commando-d-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Cobra-Commando.pdf,https://player.vimeo.com/external/190337153.hd.mp4?s=f52c504a20d13377535fa57e0fba369df861cc25&profile_id=174&download=1
https://tonypolecastro.com/lessons/construction-zone-c-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Construction-Zone.pdf,https://player.vimeo.com/external/187067596.hd.mp4?s=b5c89f2cc5edcb8ba97cb668c5fea7f18176809b&profile_id=174&download=1
